,U2M,V250,TROPT,TROPPB,T2M,TQL,T500,TOX,U850,PS,V850,OMEGA500,H250,Q250,T2MDEW,PBLTOP,CLDPRS,V50M,Q500,DISPH,H1000,TO3,TS,T10M,TROPPT,TQI,SLP,U250,Q850,ZLCL,TQV,V2M,T250,TROPQ,V10M,H850,T850,U50M,U10M,QV2M,CLDTMP,TROPPV,H500,V500,T2MWET,U500,QV10M,LWGAB,SWLAND,PRECLSCORR,PRECCUCORR,PARDF,SWGDN,PRECSNOCORR,PARDR,generation_mw
2023-07-01 20:30:00+00:00,2.2054796,-10.742988,220.10278,19944.453,288.8755,0.0210495,263.44714,0.006525483,8.989113,99911.89,-4.6802497,0.0029518008,10640.316,8.8561574e-05,283.7732,86166.36,28803.637,-2.915796,0.00020790256,0.36437988,73.034874,304.26672,287.9883,289.38434,19946.03,0.0063505173,100867.6,42.132053,0.005967886,1179.5345,15.9215145,-0.88864875,226.53397,2.0520698e-05,-1.4505972,1434.7074,278.8774,7.1316605,3.6072114,0.007998068,238.4862,19257.225,5675.4883,-6.3318896,283.7765,25.820698,0.007822598,331.1707,0.43550372,6.325254e-09,0.0,0.17114371,0.5532861,0.0,1.9318218e-06,0.0056522241
2023-07-01 21:30:00+00:00,2.296361,-9.007093,220.66159,20860.715,288.0711,0.014625549,262.92905,0.0065353434,8.923794,99971.734,-4.608954,-0.018228829,10638.155,7.202074e-05,283.81467,84287.33,30450.77,-2.551709,0.00027379888,0.3642578,77.99174,304.8574,287.2835,288.5525,20859.842,0.0076417923,100927.06,43.548283,0.005781178,1024.1079,15.897932,-0.7880522,227.14365,2.3228302e-05,-1.2812314,1437.8872,278.7154,7.2638726,3.7343745,0.008013313,239.28453,19254.7,5674.116,-5.7184396,283.81387,26.079998,0.007870268,326.01035,0.0,4.0056323e-09,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01 22:30:00+00:00,2.1662233,-7.3229403,220.71877,20862.441,286.88153,0.009469986,262.34103,0.0065427613,8.908986,100001.74,-4.5013576,-0.023302495,10631.42,5.1546227e-05,283.742,90015.84,500000000000000.0,-2.2813046,0.00031887644,0.3642578,80.61856,305.2091,285.97168,287.4029,20863.088,4.8205256e-05,100958.66,44.88622,0.00562886,871.5466,15.739498,-0.6641488,227.47961,2.5049034e-05,-1.0975142,1438.5809,278.59235,7.3370037,3.591419,0.007975167,500000000000000.0,19251.855,5669.9575,-5.4583416,283.74463,26.584486,0.007874085,305.3605,0.0,3.0290699e-09,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01 23:30:00+00:00,2.0982466,-5.415062,220.68408,20862.627,285.9168,0.0064706802,261.67545,0.0065352023,8.84435,100014.73,-4.246121,0.012584925,10622.564,5.6292734e-05,283.74362,94237.266,1000000000000000.0,-1.8823745,0.0003851767,0.3642578,81.43016,304.85068,285.1031,286.44022,20859.738,0.0,100968.99,46.36628,0.005486155,722.938,15.524422,-0.5320847,227.37836,2.8902643e-05,-0.8871914,1437.3708,278.46915,7.2971025,3.5100355,0.007973264,1000000000000000.0,19251.762,5665.4106,-5.7842236,283.74487,26.915314,0.007910331,297.86975,0.0,1.9919195e-09,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-02 00:30:00+00:00,2.1201816,-3.36201,220.54626,20861.195,285.26746,0.004220009,261.09457,0.006545343,8.9848585,100018.08,-3.8372455,0.06488109,10613.201,5.761922e-05,283.86328,98944.484,1000000000000000.0,-1.4834578,0.0004101744,0.3642578,81.93532,305.3312,284.53473,285.75012,20859.805,0.0,100975.734,47.536095,0.005354715,573.166,15.258587,-0.4304459,227.1912,3.2872813e-05,-0.7138746,1436.056,278.28314,7.215575,3.5242574,0.008041935,1000000000000000.0,19252.164,5660.9233,-6.628167,283.87146,26.512674,0.008009519,295.1237,0.0,4.5829886e-08,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-02 01:30:00+00:00,2.0936089,-1.6560438,221.26257,21700.918,284.65796,0.0029354095,260.66324,0.006575641,9.1773205,100037.11,-3.3847833,0.11079037,10603.227,5.9949616e-05,284.0449,99282.125,1000000000000000.0,-1.3425987,0.0002786771,0.36413574,83.209915,306.74442,283.95886,285.11722,21697.934,0.0,100991.445,47.880096,0.005263391,436.45575,14.736939,-0.39064717,226.93715,4.219627e-05,-0.64937735,1435.6752,277.98663,7.1048326,3.4798546,0.008141117,1000000000000000.0,19257.611,5657.7075,-7.3358507,284.03943,25.746138,0.008125867,292.13043,0.0,1.2777949e-07,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-02 02:30:00+00:00,2.0201912,-0.99352384,221.98123,22651.535,284.07843,0.0025091171,260.41156,0.0066231973,9.246,100062.95,-3.0957894,0.15978414,10593.539,5.858963e-05,284.12885,98386.56,82191.516,-1.6858225,0.00013209089,0.36413574,85.33364,308.96243,283.38565,284.54086,22651.275,0.0,101018.2,47.620674,0.0052035786,351.41327,14.10983,-0.47758663,226.66199,4.968855e-05,-0.8006978,1436.1174,277.55002,6.9322634,3.3772202,0.008184976,276.17084,19257.307,5655.9697,-7.758889,284.13434,24.993927,0.008179256,289.40207,0.0,5.2507266e-07,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-02 03:30:00+00:00,1.9272399,-0.15453959,221.90677,22653.143,283.61893,0.0024881363,260.29645,0.0066701393,9.217197,100093.74,-2.689152,0.16341743,10586.418,6.355054e-05,283.96503,94401.76,83246.14,-2.1622298,8.694452e-05,0.36413574,87.89926,311.10928,282.9661,284.08722,22651.178,0.0,101050.5,47.21674,0.0051278896,302.26672,13.570686,-0.5937767,226.36174,4.4654993e-05,-1.0040629,1437.2385,277.1595,6.7180686,3.24226,0.008091487,276.466,19257.334,5656.463,-8.11591,283.96375,24.405947,0.008087674,288.95416,0.3053727,4.7187217e-07,0.0,0.117927626,0.3893633,0.0,8.0219127e-07,5.814845999999999e-05
2023-07-02 04:30:00+00:00,2.4222822,0.6003628,221.84451,22656.426,284.2331,0.0026192665,260.22366,0.006710993,9.150057,100131.07,-2.0591693,0.13479891,10581.805,6.84479e-05,283.67258,87848.17,46200.93,-2.2911499,9.539232e-05,0.36401367,91.08484,312.55515,284.10022,284.49994,22652.895,0.00013653934,101089.27,46.00699,0.005036941,313.66998,13.172254,-0.82246506,226.06152,3.895803e-05,-1.2925181,1439.2306,276.9291,6.3961773,3.794709,0.007935061,250.13919,19252.357,5658.911,-7.996827,283.6736,23.936653,0.007917898,286.1607,37.08014,2.4653158e-07,0.0,13.918458,50.605045,0.0,4.6856823,3.563964
2023-07-02 05:30:00+00:00,2.9874787,1.3055851,221.78812,22654.723,285.76486,0.0031204224,260.14914,0.006722886,9.21742,100173.7,-1.2632121,0.090898246,10578.912,7.499864e-05,283.59235,90047.836,31429.793,-1.610595,8.855095e-05,0.36401367,94.700424,313.1215,286.45636,285.63107,22653.574,0.0014724731,101132.58,44.293938,0.0049763606,405.1205,12.867636,-0.8515685,225.77274,3.752512e-05,-1.2368188,1441.9358,276.7688,5.287426,4.3296375,0.007883546,239.43005,19252.717,5661.9434,-7.169599,283.58832,23.578087,0.0078139305,284.6993,135.35876,1.57725e-08,0.0,30.846142,179.4467,0.0,41.256943,14.237455
2023-07-02 06:30:00+00:00,3.302954,2.1370153,221.71255,22654.828,288.05093,0.0038571358,259.9809,0.0067238184,9.326324,100210.46,-0.4957744,0.03665343,10576.535,8.245875e-05,282.6772,91853.17,31435.809,-1.7316139,8.069641e-05,0.36401367,98.14265,313.16373,289.2553,287.7171,22657.445,0.0030784607,101171.78,42.339104,0.0048995228,817.5194,12.61773,-0.86162317,225.46445,4.009734e-05,-1.2235177,1444.7922,276.67572,5.831905,4.692281,0.0074152728,239.23862,19255.236,5664.829,-5.7720065,282.68112,23.269775,0.007238844,288.93103,255.82582,1.3583209e-09,0.0,46.945507,326.32733,0.0,88.57869,34.85347900000001
2023-07-02 07:30:00+00:00,3.848853,3.100048,221.64993,22654.55,289.6927,0.00497818,259.7519,0.0067457194,9.408941,100233.14,-0.08404857,0.003258407,10573.8125,8.971152e-05,281.45712,86036.69,30677.469,-1.1931243,7.5777694e-05,0.36395264,99.89621,314.18875,291.34973,289.1598,22657.861,0.006087303,101191.59,40.414326,0.004796606,1189.8789,12.455558,-0.6843634,225.13913,4.4074615e-05,-0.96468276,1446.8945,276.61554,6.6203637,5.4277706,0.006820175,238.12917,19254.94,5666.9688,-4.003255,281.45935,23.321917,0.006542658,295.19006,384.3725,1.519112e-09,0.0,63.06929,476.87558,0.0,136.99022,82.49861000000001
2023-07-02 08:30:00+00:00,4.2725573,4.0367002,221.62485,22653.418,290.84006,0.006436348,259.50818,0.006802363,9.24242,100231.445,0.059812546,-0.03769198,10570.178,9.7367636e-05,281.03406,83369.516,28899.068,-0.26681173,8.347672e-05,0.3638916,99.92085,316.82758,292.94855,290.12527,22654.348,0.011392593,101191.85,38.625957,0.0049259122,1393.6105,12.5023,-0.16011524,224.85193,4.8193844e-05,-0.2247355,1448.7101,276.4303,7.2422194,6.000042,0.006625639,235.48105,19251.385,5667.629,-2.3997436,281.03964,23.724628,0.006281366,302.55664,491.79285,1.3096365e-09,0.0,91.25931,598.0898,0.0,160.48453,123.08091
2023-07-02 09:30:00+00:00,4.5402126,4.9135227,221.71417,22656.492,291.71698,0.008355141,259.1848,0.0068649002,9.26804,100230.41,0.5229856,-0.06885785,10566.158,0.00010170273,280.93546,81848.31,27536.875,0.35255015,0.0001573269,0.3638916,99.67211,319.7433,294.11066,290.87708,22655.463,0.018676758,101188.59,37.09217,0.0049978476,1503.3727,12.851857,0.20904046,224.63019,5.1035462e-05,0.29309303,1450.7312,276.6504,7.652461,6.368537,0.0065827495,232.54628,19257.371,5666.642,-1.2391697,280.94092,23.954107,0.0061955634,310.34894,565.80493,1.0775921e-09,0.0,124.36715,680.3893,0.0,162.29654,107.55674000000002
2023-07-02 10:30:00+00:00,4.679713,5.8657255,221.80374,22654.842,292.40286,0.011205673,258.82123,0.0069188345,9.430803,100218.664,0.97503936,-0.080626845,10562.381,0.00010091963,280.91623,81392.305,26615.064,0.6772136,0.00036931163,0.36383057,98.819336,322.25143,294.89743,291.50146,22654.209,0.024299622,101177.375,35.97803,0.0050432947,1622.329,13.391111,0.39696544,224.45995,5.1378964e-05,0.55650836,1452.3705,277.07382,7.8903313,6.565808,0.006575151,230.43903,19385.736,5664.9014,-0.5295466,280.92288,23.801182,0.006156496,315.43896,605.00867,1.1588341e-09,0.0,148.31577,723.22186,0.0,157.28839,106.47217
